Id,Symbol,Name,Slug,Rank
5632,AR,Arweave,arweave,152
10791,XEC,eCash,ecash,153
6783,AXS,Axie Infinity,axie-infinity,154
8104,1INCH,1inch,1inch,155
24647,BERA,Berachain,berachain,156
4846,KAVA,Kava,kava,157
9903,CVX,Convex Finance,convex-finance,158
9104,AIOZ,AIOZ Network,aioz-network,159
35763,KAITO,KAITO,kaito,160
30712,MERL,Merlin Chain,merlin-chain,161
27750,TOSHI,Toshi,toshithecat,162
27659,MOG,Mog Coin,mog-coin,163
14101,RON,Ronin,ronin,164
38481,XAN,Anoma,anoma,165
5488,JST,JUST,just,166
31278,DRIFT,Drift,drift,167
7548,WEMIX,WEMIX,wemix,168
17799,AXL,Axelar,axelar,169
32452,MOVE,Movement,movement,170
4172,LUNC,Terra Classic,terra-luna,171
38299,AVNT,Avantis,avantis,173
25264,SNEK,Snek,snek,173
4195,FTT,FTX Token,ftx-token,174
1168,DCR,Decred,decred,175
35364,PLUME,Plume,plume,176
3640,LPT,Livepeer,livepeer,177
7431,AKT,Akash Network,akash-network,178
36532,B,BUILDon,buildon,179
31526,MOCA,Moca Network,mocaverse,180
5198,CTC,Creditcoin,creditcoin,181
6945,AMP,Amp,amp,182
24911,TURBO,Turbo,turbo,183
5034,KSM,Kusama,kusama,184
20641,EURC,EURC,euro-coin,185
8119,SFP,SafePal,safepal,186
30933,DOG,Dog (Bitcoin),dog-go-to-the-moon-rune,187
4041,MX,MX Token,mx-token,188
30126,MEW,cat in a dogs world,mew,189
35931,ZORA,ZORA,zora,190
21585,SAFE,Safe,safe1,191
1684,QTUM,Qtum,qtum,192
36828,USELESS,Useless Coin,theuselesscoin,193
34812,BIO,Bio Protocol,bio,194
28782,POPCAT,Popcat (SOL),popcat-sol,195
3822,TFUEL,Theta Fuel,theta-fuel,196
1455,GLM,Golem,golem-network-tokens,197
7127,VELO,Velo,velo,198
1697,BAT,Basic Attention Token,basic-attention-token,199
10407,BabyDoge,Baby Doge Coin,baby-doge-coin,200
28853,JLP,Jupiter Perps LP,jupiter-perps-lp,201
35721,USDf,Falcon USD,falcon-finance,202
22615,FTN,Fasttoken,fasttoken,203
27765,ZBU,Zeebu,zeebu,204
16334,APX,APX,apollox,205
33793,USDG,Global Dollar,global-dollar-usdg,206
29256,USDY,Ondo US Dollar Yield,ondo-us-dollar-yield,207
29082,SAROS,Saros,saros,208
32307,USD0,Usual USD,usual-usd,209
3987,BDX,Beldex,beldex,210
2499,BORG,SwissBorg,swissborg,211
38562,USDAI,USDai,usdai,212
35954,LION,Loaded Lions,loaded-lions,213
10508,FLUID,Fluid,instadapp,214
37322,VSN,Vision,vision-token,215
37986,LIGHT,Light,light,216
2394,TEL,Telcoin,telcoin,217
35437,USDF,Aster USDF,usdf,218
32968,AIC,AI Companions,ai-companions,219
23508,GHO,GHO,gho,220
38430,AIA,DeAgentAI,deagentai,221
6952,FRAX,Legacy Frax Dollar,frax,222
24382,KAU,Kinesis Gold,gold-kau,223
36743,TIBBIR,Ribbita by Virtuals,ribbita-by-virtuals,224
19843,APEX,ApeX Protocol,apex-token,225
29169,QUBIC,Qubic,qubic,226
36066,KTA,Keeta,keeta,227
30986,KMNO,Kamino Finance,kamino-finance,228
32956,GRASS,Grass,grass,229
33280,CHEEMS,Cheems (cheems.pet),cheems-pet,230
28654,UPC,UPCX,upcx,231
33788,PNUT,Peanut the Squirrel,peanut-the-squirrel,232
4006,AWE,AWE,awe-network,233
2777,IOTX,IoTeX,iotex,234
2469,ZIL,Zilliqa,zilliqa,235
1896,ZRX,0x Protocol,0x,236
6953,FRAX,Frax (prev. FXS),frax-share,237
38408,BARD,Lombard,lombard,238
30605,ALE,Ailey,project-ailey,239
24257,LGCT,Legacy Token,legacy-network,240
35818,SOSO,SoSoValue,sosovalue,241
8646,MINA,Mina,mina,242
37482,DORA,DORA,dora,243
4948,CKB,Nervos Network,nervos-network,244
1785,GAS,Gas,gas,245
14519,VVS,VVS Finance,vvs-finance,246
28293,ULTIMA,Ultima,ultima,247
6758,SUSHI,SushiSwap,sushiswap,248
5567,CELO,Celo,celo,249
2467,TRAC,OriginTrail,origintrail,250
10180,GOMINING,GoМining,gomining-token,251
14280,EUL,Euler,euler-finance,252
7653,ROSE,Oasis,oasis-network,253
2577,RVN,Ravencoin,ravencoin,254
23121,BLUR,Blur,blur-token,255
12885,ASTR,Astar,astar,256
34143,WHITE,WhiteRock,whiterock,257
6536,OM,MANTRA,mantra,258
5864,YFI,yearn.finance,yearn-finance,259
4120,PROM,Prom,prom,260
36671,SAHARA,Sahara AI,sahara-ai,261
21846,ID,SPACE ID,space-id,262
6958,ACH,Alchemy Pay,alchemy-pay,263
21259,ZETA,ZetaChain,zetachain,264
18031,CCD,Concordium,concordium,265
25028,ORDI,ORDI,ordi,266
9260,ZIG,ZIGChain,zigcoin,267
5350,XPR,XPR Network,proton,268
6748,CFG,Centrifuge,centrifuge,269
36762,DUSD,StandX DUSD,standx-dusd,270
14588,PEAQ,peaq,peaq,271
21870,MPLX,Metaplex,metaplex,272
34434,REKT,Rekt (rektcoin.com),rekt-eth,273
7184,KOGE,48 Club Token,bnb48-club-token,274
33093,MOODENG,Moo Deng (moodengsol.com),moo-deng-solana,275
30746,BB,BounceBit,bouncebit,276
1698,ZEN,Horizen,horizen,277
11857,GMX,GMX,gmx,278
21296,ETHW,EthereumPoW,ethereum-pow,279
28850,NOT,Notcoin,notcoin,280
17751,T,Threshold,threshold,281
35347,MELANIA,Official Melania Meme,melania-meme,282
3012,VTHO,VeThor Token,vethor-token,283
